File Name,Unusable,Moderately good,Good-number of layers
"Garth_A01_G006_0001[0,0].jpg",1,,
"Garth_A01_G006_0001[0,1].jpg",1,,
"Garth_A01_G006_0001[0,2].jpg",1,,
"Garth_A01_G006_0001[0,3].jpg",1,,
"Garth_A01_G006_0001[0,4].jpg",1,,
"Garth_A01_G006_0001[0,5].jpg",1,,
"Garth_A01_G006_0001[0,6].jpg",1,,
"Garth_A01_G006_0001[0,7].jpg",1,,
"Garth_A01_G006_0001[1,0].jpg",1,,
"Garth_A01_G006_0001[1,1].jpg",1,,
"Garth_A01_G006_0001[1,2].jpg",1,,
"Garth_A01_G006_0001[1,3].jpg",1,,
"Garth_A01_G006_0001[1,4].jpg",1,,
"Garth_A01_G006_0001[1,5].jpg",1,,
"Garth_A01_G006_0001[1,6].jpg",1,,
"Garth_A01_G006_0001[1,7].jpg",1,,
"Garth_A01_G006_0001[2,0].jpg",1,,
"Garth_A01_G006_0001[2,1].jpg",1,,
"Garth_A01_G006_0001[2,2].jpg",1,,
"Garth_A01_G006_0001[2,3].jpg",1,,
"Garth_A01_G006_0001[2,4].jpg",1,,
"Garth_A01_G006_0001[2,5].jpg",1,,
"Garth_A01_G006_0001[2,6].jpg",1,,
"Garth_A01_G006_0001[2,7].jpg",1,,
"Garth_A01_G006_0001[3,0].jpg",1,,
"Garth_A01_G006_0001[3,1].jpg",1,,
"Garth_A01_G006_0001[3,2].jpg",1,,
"Garth_A01_G006_0001[3,3].jpg",1,,
"Garth_A01_G006_0001[3,4].jpg",1,,
"Garth_A01_G006_0001[3,5].jpg",1,,
"Garth_A01_G006_0001[3,6].jpg",1,,
"Garth_A01_G006_0001[3,7].jpg",1,,
"Garth_A01_G006_0001[4,0].jpg",1,,
"Garth_A01_G006_0001[4,1].jpg",1,,
"Garth_A01_G006_0001[4,2].jpg",1,,
"Garth_A01_G006_0001[4,3].jpg",1,,
"Garth_A01_G006_0001[4,4].jpg",1,,
"Garth_A01_G006_0001[4,5].jpg",1,,
"Garth_A01_G006_0001[4,6].jpg",1,,
"Garth_A01_G006_0001[4,7].jpg",1,,
"Garth_A01_G006_0001[5,0].jpg",1,,
"Garth_A01_G006_0001[5,1].jpg",1,,
"Garth_A01_G006_0001[5,2].jpg",1,,
"Garth_A01_G006_0001[5,3].jpg",1,,
"Garth_A01_G006_0001[5,4].jpg",1,,
"Garth_A01_G006_0001[5,5].jpg",1,,
"Garth_A01_G006_0001[5,6].jpg",1,,
"Garth_A01_G006_0001[5,7].jpg",1,,
"Garth_A01_G006_0001[6,0].jpg",1,,
"Garth_A01_G006_0001[6,1].jpg",1,,
"Garth_A01_G006_0001[6,2].jpg",1,,
"Garth_A01_G006_0001[6,3].jpg",1,,
"Garth_A01_G006_0001[6,4].jpg",1,,
"Garth_A01_G006_0001[6,5].jpg",1,,
"Garth_A01_G006_0001[6,6].jpg",1,,
"Garth_A01_G006_0001[6,7].jpg",,1,
"Garth_A01_G006_0001[7,0].jpg",1,,
"Garth_A01_G006_0001[7,1].jpg",,1,
"Garth_A01_G006_0001[7,2].jpg",1,,
"Garth_A01_G006_0001[7,3].jpg",,1,
"Garth_A01_G006_0001[7,4].jpg",1,,
"Garth_A01_G006_0001[7,5].jpg",,,3
"Garth_A01_G006_0001[7,6].jpg",1,,
"Garth_A01_G006_0001[7,7].jpg",,1,
"Garth_A01_G006_0002[0,0].jpg",,1,
"Garth_A01_G006_0002[0,1].jpg",,1,
"Garth_A01_G006_0002[0,2].jpg",,1,
"Garth_A01_G006_0002[0,3].jpg",,1,
"Garth_A01_G006_0002[0,4].jpg",,1,
"Garth_A01_G006_0002[0,5].jpg",,1,
"Garth_A01_G006_0002[0,6].jpg",,1,
"Garth_A01_G006_0002[0,7].jpg",,,4
"Garth_A01_G006_0002[1,0].jpg",,1,
"Garth_A01_G006_0002[1,1].jpg",,1,
"Garth_A01_G006_0002[1,2].jpg",,,3
"Garth_A01_G006_0002[1,3].jpg",,,3
"Garth_A01_G006_0002[1,4].jpg",,1,
"Garth_A01_G006_0002[1,5].jpg",,1,
"Garth_A01_G006_0002[1,6].jpg",,,3
"Garth_A01_G006_0002[1,7].jpg",,,3
"Garth_A01_G006_0002[2,0].jpg",,,3
"Garth_A01_G006_0002[2,1].jpg",,1,
"Garth_A01_G006_0002[2,2].jpg",,1,
"Garth_A01_G006_0002[2,3].jpg",,1,
"Garth_A01_G006_0002[2,4].jpg",1,,
"Garth_A01_G006_0002[2,5].jpg",,1,
"Garth_A01_G006_0002[2,6].jpg",,1,
"Garth_A01_G006_0002[2,7].jpg",,1,
"Garth_A01_G006_0002[3,0].jpg",,1,
"Garth_A01_G006_0002[3,1].jpg",,1,
"Garth_A01_G006_0002[3,2].jpg",,1,
"Garth_A01_G006_0002[3,3].jpg",,,4
"Garth_A01_G006_0002[3,4].jpg",1,,
"Garth_A01_G006_0002[3,5].jpg",,1,
"Garth_A01_G006_0002[3,6].jpg",,,4
"Garth_A01_G006_0002[3,7].jpg",,1,
"Garth_A01_G006_0002[4,0].jpg",,,5
"Garth_A01_G006_0002[4,1].jpg",,1,
"Garth_A01_G006_0002[4,2].jpg",,1,
"Garth_A01_G006_0002[4,3].jpg",,,4
"Garth_A01_G006_0002[4,4].jpg",1,,
"Garth_A01_G006_0002[4,5].jpg",,,3
