File Name,Unusable,Moderately good,Good-number of layers
"Gulda_top_of_middle_A01_G006_0001[0,0].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[0,1].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[0,2].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[0,3].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[1,0].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[1,1].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[1,2].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[1,3].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[2,0].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[2,1].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[2,2].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[2,3].jpg",1,,
"Gulda_top_of_middle_A01_G006_0001[3,0].jpg",,1,
"Gulda_top_of_middle_A01_G006_0001[3,1].jpg",,1,
"Gulda_top_of_middle_A01_G006_0001[3,2].jpg",,1,
"Gulda_top_of_middle_A01_G006_0001[3,3].jpg",,1,
"Gulda_top_of_middle_A01_G006_0002[0,0].jpg",,,11
"Gulda_top_of_middle_A01_G006_0002[0,1].jpg",,,11
"Gulda_top_of_middle_A01_G006_0002[0,2].jpg",,,10
"Gulda_top_of_middle_A01_G006_0002[0,3].jpg",,,12
"Gulda_top_of_middle_A01_G006_0002[1,0].jpg",,,8
"Gulda_top_of_middle_A01_G006_0002[1,1].jpg",,,7
"Gulda_top_of_middle_A01_G006_0002[1,2].jpg",,,8
"Gulda_top_of_middle_A01_G006_0002[1,3].jpg",,,7
"Gulda_top_of_middle_A01_G006_0002[2,0].jpg",,,8
"Gulda_top_of_middle_A01_G006_0002[2,1].jpg",,,9
"Gulda_top_of_middle_A01_G006_0002[2,2].jpg",,,8
"Gulda_top_of_middle_A01_G006_0002[2,3].jpg",,,9
"Gulda_top_of_middle_A01_G006_0002[3,0].jpg",,,7
"Gulda_top_of_middle_A01_G006_0002[3,1].jpg",,,6
"Gulda_top_of_middle_A01_G006_0002[3,2].jpg",,,7
"Gulda_top_of_middle_A01_G006_0002[3,3].jpg",,,6
"Gulda_top_of_middle_A01_G006_0003[0,0].jpg",,,5
"Gulda_top_of_middle_A01_G006_0003[0,1].jpg",,,5
"Gulda_top_of_middle_A01_G006_0003[0,2].jpg",,,6
"Gulda_top_of_middle_A01_G006_0003[0,3].jpg",,,5
"Gulda_top_of_middle_A01_G006_0003[1,0].jpg",,,6
"Gulda_top_of_middle_A01_G006_0003[1,1].jpg",,,8
"Gulda_top_of_middle_A01_G006_0003[1,2].jpg",,,8
"Gulda_top_of_middle_A01_G006_0003[1,3].jpg",,,9
"Gulda_top_of_middle_A01_G006_0003[2,0].jpg",,,9
"Gulda_top_of_middle_A01_G006_0003[2,1].jpg",,1,
"Gulda_top_of_middle_A01_G006_0003[2,2].jpg",,,8
"Gulda_top_of_middle_A01_G006_0003[2,3].jpg",,1,
"Gulda_top_of_middle_A01_G006_0003[3,0].jpg",,1,
"Gulda_top_of_middle_A01_G006_0003[3,1].jpg",,,8
"Gulda_top_of_middle_A01_G006_0003[3,2].jpg",,,8
"Gulda_top_of_middle_A01_G006_0003[3,3].jpg",,,9
"Gulda_top_of_middle_A01_G006_0004[0,0].jpg",,,7
"Gulda_top_of_middle_A01_G006_0004[0,1].jpg",,1,
"Gulda_top_of_middle_A01_G006_0004[0,2].jpg",,1,
"Gulda_top_of_middle_A01_G006_0004[0,3].jpg",,1,
"Gulda_top_of_middle_A01_G006_0004[1,0].jpg",,,7
"Gulda_top_of_middle_A01_G006_0004[1,1].jpg",,,6
"Gulda_top_of_middle_A01_G006_0004[1,2].jpg",,,6
"Gulda_top_of_middle_A01_G006_0004[1,3].jpg",,,6
"Gulda_top_of_middle_A01_G006_0004[2,0].jpg",,,8
"Gulda_top_of_middle_A01_G006_0004[2,1].jpg",,1,
"Gulda_top_of_middle_A01_G006_0004[2,2].jpg",,,9
"Gulda_top_of_middle_A01_G006_0004[2,3].jpg",,,9
"Gulda_top_of_middle_A01_G006_0004[3,0].jpg",,,5
"Gulda_top_of_middle_A01_G006_0004[3,1].jpg",,1,
"Gulda_top_of_middle_A01_G006_0004[3,2].jpg",,1,
"Gulda_top_of_middle_A01_G006_0004[3,3].jpg",,1,
"Gulda_top_of_middle_A01_G006_0005[0,0].jpg",,1,
"Gulda_top_of_middle_A01_G006_0005[0,1].jpg",,1,
"Gulda_top_of_middle_A01_G006_0005[0,2].jpg",,1,
"Gulda_top_of_middle_A01_G006_0005[0,3].jpg",,1,
"Gulda_top_of_middle_A01_G006_0005[1,0].jpg",,1,
"Gulda_top_of_middle_A01_G006_0005[1,1].jpg",,1,
"Gulda_top_of_middle_A01_G006_0005[1,2].jpg",,1,
"Gulda_top_of_middle_A01_G006_0005[1,3].jpg",,1,
"Gulda_top_of_middle_A01_G006_0005[2,0].jpg",,,12
"Gulda_top_of_middle_A01_G006_0005[2,1].jpg",,,9
"Gulda_top_of_middle_A01_G006_0005[2,2].jpg",,,7
"Gulda_top_of_middle_A01_G006_0005[2,3].jpg",,,9
"Gulda_top_of_middle_A01_G006_0005[3,0].jpg",,,11
"Gulda_top_of_middle_A01_G006_0005[3,1].jpg",,,11
"Gulda_top_of_middle_A01_G006_0005[3,2].jpg",,,11
"Gulda_top_of_middle_A01_G006_0005[3,3].jpg",,,11
"Gulda_top_of_middle_A01_G006_0006[0,0].jpg",,,11
"Gulda_top_of_middle_A01_G006_0006[0,1].jpg",,,9
"Gulda_top_of_middle_A01_G006_0006[0,2].jpg",,,9
"Gulda_top_of_middle_A01_G006_0006[0,3].jpg",,1,
"Gulda_top_of_middle_A01_G006_0006[1,0].jpg",,,7
"Gulda_top_of_middle_A01_G006_0006[1,1].jpg",,,8
"Gulda_top_of_middle_A01_G006_0006[1,2].jpg",,,9
"Gulda_top_of_middle_A01_G006_0006[1,3].jpg",,,9
"Gulda_top_of_middle_A01_G006_0006[2,0].jpg",,,9
"Gulda_top_of_middle_A01_G006_0006[2,1].jpg",,1,
"Gulda_top_of_middle_A01_G006_0006[2,2].jpg",,,11
"Gulda_top_of_middle_A01_G006_0006[2,3].jpg",,1,
"Gulda_top_of_middle_A01_G006_0006[3,0].jpg",,1,
"Gulda_top_of_middle_A01_G006_0006[3,1].jpg",,1,
"Gulda_top_of_middle_A01_G006_0006[3,2].jpg",,,9
"Gulda_top_of_middle_A01_G006_0006[3,3].jpg",,,8
